"Record ID","Survey Identifier","Survey Timestamp","Please enter a survey ID to associate your responses at the mid-term with responses at the end of the semester. For your ID, please enter the first initial of the first name of an important person in your life, then the number of siblings you have, then the first initial of your high school, and finally the year you were born.     For example, if I use my mom Susan, my one sister, my high school Bedford High, and my birth year, my survey ID would be S1B1989.     If you entered an ID during the mid-term, please use the same information this time.","The instructor presented content in an organized manner.","The instructor explained the concepts clearly.","The instructor was helpful when I had difficulties or questions.","The instructor provided clear constructive feedback.","Considering both the limitations and possibilities of the subject matter and the course, how would you rate the overall effectiveness of this instructor?","What could the instructor improve, if anything?",Complete?
1,,"2020-10-02 08:48:37",800618927,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"Nothing to improve ",Complete
2,,"2020-10-02 09:35:56",R2A1994,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"I feel the instructor has done great with communication and feedback from journals. He responds in a timely manner to emails and is always there to help if we have questions or need assistance. There is not anything they could improve on in my view.",Complete
3,,"2020-10-02 11:00:29",D3T2000,Agree,Agree,Neutral,Agree,Excellent,"I feel like it's easier to have the discussion and reply to the discussion due on the same day. It's not a big deal at all, but it could easily be done all at once. ",Complete
4,,"2020-10-02 11:27:48",LL1E1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,,Complete
5,,"2020-10-02 11:36:11",J1M1999,"Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree",Great,"Nothing, perhaps doing video lectures. ",Complete
6,,"2020-10-02 16:10:31",L4F2001,"Strongly Agree","Strongly Agree",Agree,Agree,Excellent,"The weekly announcements really help! ",Complete
7,,"2020-10-02 16:57:43",N1C1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"He was absolutely amazing! Even though this class was online I really felt that I learned quite a bit through the class. 10/10 Work queen. Also I think that the feedback that he offered on every assignment was very informative and helped me improve on my work for the next time. Over ",Complete
8,,"2020-10-02 16:59:19",E3E2000,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"This is my favorite professor I have ever had. I think the feedback that he had was phenomenal and they really make my day. I highly enjoy the assignments we have and how open he is in expressing his thoughts in comparison to ours. 15/10 would recommend.",Complete
9,,"2020-10-03 10:04:50",800633981,"Strongly Agree","Strongly Agree","Strongly Agree",Agree,Great,"I think the instructor does well in the class, through reaching out to us every week and giving us reminders about due dates. He also offers assistance if we have questions and replies in a timely manner. I enjoy the class and the instructors involvement even though class is asynchronous online.",Complete
10,,"2020-10-03 15:16:28",E1G1999,"Strongly Agree","Strongly Agree",Agree,Agree,Excellent,"Could improve in giving better feedback, especially to discussions or reaction journals :) ",Complete
11,,"2020-10-03 18:08:14",DH3W1998,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"no, I absolutely love this course ",Complete
12,,"2020-10-03 18:08:23",DH3W1998,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"no, I absolutely love this course ",Complete
13,,"2020-10-04 12:06:25",E4L1997,"Strongly Agree","Strongly Agree","Strongly Agree",Agree,Great,Nothing,Complete
14,,"2020-10-05 15:10:53",S2S1995,Agree,Agree,Agree,"Strongly Agree",Great,"Maybe a little more time with the instructor via zoom.",Complete
15,,"2020-10-05 16:09:56",A2132,"Strongly Agree","Strongly Agree","Strongly Agree",Agree,Great,,Complete
16,,"2020-10-05 23:55:32",M1S2000,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"I feel like the instructor has done a great job teaching this course online, therefore, I don't necessarily think he should do anything in improving the course material. I'm learning and attaining the information very well by the way he is delivering the content for this course.",Complete
17,,"2020-10-06 11:57:23",A1H2019,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,N/A,Complete
18,,"2020-10-07 23:10:11",B2G1999,"Strongly Agree",Agree,Agree,Agree,Great,"I think Cory does a great job. If anything, i would suggest lecturing; however, that is just a personal preference. ",Complete
19,,"2020-10-08 23:04:15",t0p2000,"Strongly Agree",Agree,Neutral,"Somewhat Agree",Good,,Complete
20,,"2020-10-10 09:51:28",S1C1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"I don't think there needs to be any improvements! This course was very clear and helpful!",Complete
21,,"2020-10-11 19:36:55",M3H1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,N/A,Complete
22,,"2020-10-12 15:43:01",K1V1998,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"Corey is doing a wonderful job so far. I enjoy class assignments and with each assignment my worldview has grown and increased. ",Complete
23,,"2020-10-12 21:50:06",L4F2001,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Great,"Doing the weekly announcements really helps. Doing a video for the bigger projects helps too. ",Complete
24,,"2020-10-13 09:14:45",R4D2000,Agree,Agree,"Somewhat Agree",Agree,Great,N/A.,Complete
25,,"2020-10-14 09:21:20",O2C1998,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"Nothing, this class is easy to navigate, organized and straight forward. It is actually the best class that I have come across in terms of structure.",Complete
26,,"2020-10-14 16:12:28",TR1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"N/A. Professor Corey sets up this course so well, I am never confused. This is my favorite course I have ever taken. ",Complete
27,,"2020-10-15 16:25:37",800624195,Agree,"Somewhat Disagree",Agree,Agree,Good,"Possibly uploading lectures instead of having students completely read from the book for their own learning. ",Complete
28,,"2020-10-15 18:21:13",M2G1999,"Strongly Agree","Strongly Agree","Somewhat Agree",Agree,Excellent,"The whole class is structure very organized matter. The one thing I would suggested in improving is making the class more ""fun"". maybe adding more visuals. ",Complete
29,,"2020-10-17 21:01:29",800618927,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"This instructor has been great and very helpful through out the course.",Complete
30,,"2020-10-21 11:54:24",J3L1999,"Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree",Great,"Allow breaks from regular work when big projects are due that week ",Complete
31,,"2020-10-26 10:51:58",M1G1997,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,,Complete
32,,"2020-11-13 18:46:24",L0P2000,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,,Complete
33,,"2020-11-29 16:23:17",K3O2001,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"Immediate quiz grading ",Complete
34,,"2020-11-29 20:47:27",a2a1994,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"Papers would come back with substancial feedback about our writing which I liked. I greatly appreciated your timely email responses and undersanding when asking for help or an extension for assignments. Those three things are all something I feel every professor should be capable of and you did just that. This semester, despite everything going on, was made a little bit easier due to your ability to effectivly teach us with leniency and guidance. ",Complete
35,,"2020-11-29 22:18:28",E3E2000,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"He is my favorite professor, he makes learning engaging even when we have limited engagements. ",Complete
36,,"2020-11-30 11:34:49",B1E1998,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,N/A,Complete
37,,"2020-11-30 14:29:41",J5R1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Great,,Complete
38,,"2020-11-30 16:30:21",LL1E1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,,Complete
39,,"2020-12-01 09:01:58",M3H1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,n/a,Complete
40,,"2020-12-02 19:19:46",L4F2001,Agree,Agree,"Strongly Agree","Strongly Agree",Great,"Doing a powerpoint on APA format would be helpful. ",Complete
41,,"2020-12-03 11:46:23",K1V1998,"Strongly Agree","Strongly Agree",Agree,Agree,Excellent,"Overall the instructor did an excellent job! My only suggestion would be a quicker turn around on grading. However, I recognize that the instructor has a lot of responsibilities as well so I understand the delay. ",Complete
42,,"2020-12-03 20:38:47",TR1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"N/A. This course was my absolute favorite, I loved every second of it",Complete
43,,"2020-12-06 07:04:12",E2G1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"He could improve on providing better feedback for the assignments. ",Complete
44,,"2020-12-06 18:35:35",E4L1997,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,,Complete
45,,"2020-12-07 14:51:49",M1S2000,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"I don't think the instructor needs to improve in anything.",Complete
46,,"2020-12-08 15:37:42",O2C1998,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"nothing. wonderful class, organized, wonderful professor. ",Complete
